Year,Fruit or Vegetable,Unit of measurement,Value
2021,,Total value (millions of vatu),113
2020,,Total value (millions of vatu),160
2019,,Total value (millions of vatu),226
2018,,Total value (millions of vatu),211
2021,Cabbage Lettuce,Total value (millions of vatu),0
2021,Capsicum,Total value (millions of vatu),2
2021,Carrots and Turnips,Total value (millions of vatu),11
2021,Cauliflowers and Broccoli,Total value (millions of vatu),3
2021,Corn,Total value (millions of vatu),0
2021,Cucumber and Gherkins,Total value (millions of vatu),0
2021,Onions and Shallots,Total value (millions of vatu),23
2021,Oranges,Total value (millions of vatu),13
2021,Potatoes,Total value (millions of vatu),56
2021,"Pumpkins, Squash, and Gourds",Total value (millions of vatu),0
2021,Tomatoes,Total value (millions of vatu),4
2021,Watermelons,Total value (millions of vatu),0
2020,Cabbage Lettuce,Total value (millions of vatu),0
2020,Capsicum,Total value (millions of vatu),4
2020,Carrots and Turnips,Total value (millions of vatu),16
2020,Cauliflowers and Broccoli,Total value (millions of vatu),4
2020,Corn,Total value (millions of vatu),1
2020,Cucumber and Gherkins,Total value (millions of vatu),0
2020,Onions and Shallots,Total value (millions of vatu),43
2020,Oranges,Total value (millions of vatu),17
2020,Potatoes,Total value (millions of vatu),71
2020,"Pumpkins, Squash, and Gourds",Total value (millions of vatu),0
2020,Tomatoes,Total value (millions of vatu),4
2020,Watermelons,Total value (millions of vatu),0
2019,Cabbage Lettuce,Total value (millions of vatu),0
2019,Capsicum,Total value (millions of vatu),9
2019,Carrots and Turnips,Total value (millions of vatu),23
2019,Cauliflowers and Broccoli,Total value (millions of vatu),9
2019,Corn,Total value (millions of vatu),1
2019,Cucumber and Gherkins,Total value (millions of vatu),0
2019,Onions and Shallots,Total value (millions of vatu),73
2019,Oranges,Total value (millions of vatu),18
2019,Potatoes,Total value (millions of vatu),84
2019,"Pumpkins, Squash, and Gourds",Total value (millions of vatu),0
2019,Tomatoes,Total value (millions of vatu),9
2019,Watermelons,Total value (millions of vatu),0
2018,Cabbage Lettuce,Total value (millions of vatu),1
2018,Capsicum,Total value (millions of vatu),9
2018,Carrots and Turnips,Total value (millions of vatu),24
2018,Cauliflowers and Broccoli,Total value (millions of vatu),12
2018,Corn,Total value (millions of vatu),1
2018,Cucumber and Gherkins,Total value (millions of vatu),0
2018,Onions and Shallots,Total value (millions of vatu),54
2018,Oranges,Total value (millions of vatu),13
2018,Potatoes,Total value (millions of vatu),87
2018,"Pumpkins, Squash, and Gourds",Total value (millions of vatu),0
2018,Tomatoes,Total value (millions of vatu),9
2018,Watermelons,Total value (millions of vatu),0
